latitude,longitude,mean_tropospheric_NO2_column_number_density,min_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
8.45,74.45,4.791207294691318e+18,4.791207294691318e+18,4.791207294691318e+18
8.45,74.55000000000001,7.441803162913923e+18,7.441803162913923e+18,7.441803162913923e+18
8.45,74.65,5.296845865203064e+18,5.296845865203064e+18,5.296845865203064e+18
8.45,74.75,4.96797605277999e+18,4.96797605277999e+18,4.96797605277999e+18
8.45,74.85,9.519611067884528e+18,9.519611067884528e+18,9.519611067884528e+18
8.45,74.95,4.056831678579542e+18,4.056831678579542e+18,4.056831678579542e+18
8.45,75.05000000000001,5.457614342473201e+18,5.457614342473201e+18,5.457614342473201e+18
8.45,75.15,3.5103842180712714e+18,3.5103842180712714e+18,3.5103842180712714e+18
8.45,75.25,4.894485795293559e+18,4.894485795293559e+18,4.894485795293559e+18
8.45,75.35,3.3439037384449587e+18,3.3439037384449587e+18,3.3439037384449587e+18
8.45,75.45,4.828353923410848e+18,4.828353923410848e+18,4.828353923410848e+18
8.45,75.55000000000001,8.746377416262758e+18,8.746377416262758e+18,8.746377416262758e+18
8.45,75.65,8.25421348183371e+18,8.25421348183371e+18,8.25421348183371e+18
8.45,75.75,6.163987332147763e+18,6.163987332147763e+18,6.163987332147763e+18
8.45,75.85,6.955007874865654e+18,6.955007874865654e+18,6.955007874865654e+18
8.45,75.95,4.799643954852969e+18,4.799643954852969e+18,4.799643954852969e+18
8.45,76.05000000000001,4.4211774372755927e+18,4.4211774372755927e+18,4.4211774372755927e+18
8.45,76.15,4.906979302809814e+18,4.906979302809814e+18,4.906979302809814e+18
8.45,76.25,1.6137515645337876e+18,1.6137515645337876e+18,1.6137515645337876e+18
8.45,76.35,5.229873101819433e+18,5.229873101819433e+18,5.229873101819433e+18
8.45,76.45,7.938211020656514e+18,7.938211020656514e+18,7.938211020656514e+18
8.45,76.55000000000001,6.435528886489613e+18,6.435528886489613e+18,6.435528886489613e+18
8.45,76.65,7.006998602509572e+18,7.006998602509572e+18,7.006998602509572e+18
8.45,76.75,5.445841160793071e+18,5.445841160793071e+18,5.445841160793071e+18
8.45,76.85,5.296767921041469e+18,5.296767921041469e+18,5.296767921041469e+18
8.45,76.95,2.748575671413148e+18,2.748575671413148e+18,2.748575671413148e+18
8.45,77.05000000000001,4.939840329376633e+18,4.939840329376633e+18,4.939840329376633e+18
8.45,77.15,9.801107607468374e+18,9.801107607468374e+18,9.801107607468374e+18
8.45,77.25,7.981018721846109e+18,7.981018721846109e+18,7.981018721846109e+18
8.45,77.35,9.859035747459838e+18,9.859035747459838e+18,9.859035747459838e+18
8.45,77.45,7.75013319156027e+18,7.75013319156027e+18,7.75013319156027e+18
8.45,77.55000000000001,1.1039265285595994e+19,1.1039265285595994e+19,1.1039265285595994e+19
8.45,77.65,1.273582749841669e+19,1.273582749841669e+19,1.273582749841669e+19
8.45,77.75,1.247867285062405e+19,1.247867285062405e+19,1.247867285062405e+19
8.45,77.85,1.6904433082581107e+19,1.6904433082581107e+19,1.6904433082581107e+19
8.45,77.95,,,
8.45,78.05000000000001,,,
8.45,78.15,,,
8.45,78.25,,,
8.45,78.35000000000001,,,
8.45,78.45,,,
8.45,78.55000000000001,,,
8.45,78.65,,,
8.45,78.75,,,
8.45,78.85000000000001,,,
8.45,78.95,,,
8.45,79.05000000000001,,,
8.45,79.15,,,
8.45,79.25,,,
8.45,79.35000000000001,,,
8.45,79.45,,,
8.45,79.55000000000001,,,
8.45,79.65,,,
8.45,79.75,,,
8.45,79.85000000000001,,,
8.45,79.95,,,
8.45,80.05000000000001,,,
8.45,80.15,,,
8.45,80.25,,,
8.45,80.35000000000001,,,
8.45,80.45,,,
8.45,80.55000000000001,,,
8.45,80.65,,,
8.45,80.75,,,
8.45,80.85000000000001,,,
8.45,80.95,,,
8.45,81.05000000000001,,,
8.45,81.15,,,
8.45,81.25,,,
8.45,81.35000000000001,,,
8.45,81.45,,,
8.45,81.55000000000001,,,
8.45,81.65,,,
8.45,81.75,,,
8.45,81.85000000000001,,,
8.45,81.95,,,
8.45,82.05000000000001,,,
8.45,82.15,,,
8.45,82.25,,,
8.45,82.35000000000001,,,
8.45,82.45,,,
8.45,82.55000000000001,,,
8.45,82.65,,,
8.45,82.75,,,
8.45,82.85000000000001,,,
8.45,82.95,,,
8.45,83.05000000000001,,,
8.45,83.15,,,
8.45,83.25,,,
8.45,83.35000000000001,,,
8.45,83.45,,,
8.45,83.55000000000001,,,
8.45,83.65,,,
8.45,83.75,,,
8.45,83.85000000000001,,,
8.45,83.95,,,
8.45,84.05000000000001,,,
8.45,84.15,,,
8.45,84.25,,,
8.45,84.35000000000001,,,
8.45,84.45,,,
8.45,84.55000000000001,,,
8.45,84.65,,,
8.45,84.75,,,
8.45,84.85000000000001,,,
8.45,84.95,,,
8.45,85.05000000000001,,,
8.45,85.15,,,
8.45,85.25,,,
8.45,85.35000000000001,,,
8.45,85.45,,,
8.45,85.55000000000001,,,
8.45,85.65,,,
8.45,85.75,,,
8.45,85.85000000000001,,,
8.45,85.95,,,
8.45,86.05000000000001,,,
8.45,86.15,,,
8.45,86.25,,,
8.45,86.35000000000001,,,
8.45,86.45,,,
8.45,86.55000000000001,,,
8.45,86.65,,,
8.45,86.75,,,
8.45,86.85000000000001,,,
8.45,86.95,,,
8.45,87.05000000000001,,,
8.45,87.15,,,
8.45,87.25,,,
8.45,87.35000000000001,,,
8.45,87.45,,,
8.45,87.55000000000001,,,
8.45,87.65,,,
8.45,87.75,,,
8.45,87.85000000000001,,,
8.45,87.95,,,
8.45,88.05000000000001,,,
8.45,88.15,,,
8.45,88.25,,,
8.45,88.35000000000001,,,
8.45,88.45,,,
8.45,88.55000000000001,,,
8.45,88.65,,,
8.45,88.75,,,
8.45,88.85000000000001,,,
8.45,88.95,,,
8.45,89.05000000000001,,,
8.45,89.15,,,
8.45,89.25,,,
8.45,89.35000000000001,,,
8.45,89.45,,,
8.45,89.55000000000001,,,
8.45,89.65,,,
8.45,89.75,,,
8.45,89.85000000000001,,,
8.45,89.95,,,
8.45,90.05000000000001,,,
8.45,90.15,,,
8.45,90.25,,,
8.45,90.35000000000001,,,
8.45,90.45,,,
8.45,90.55000000000001,,,
8.45,90.65,,,
8.45,90.75,,,
8.45,90.85000000000001,,,
8.45,90.95,,,
8.45,91.05000000000001,,,
8.45,91.15,,,
8.45,91.25,,,
8.45,91.35000000000001,,,
8.45,91.45,,,
8.45,91.55000000000001,,,
8.45,91.65,,,
8.45,91.75,,,
8.45,91.85000000000001,,,
8.45,91.95,,,
8.45,92.05000000000001,,,
8.45,92.15,,,
8.45,92.25,,,
8.45,92.35000000000001,,,
8.45,92.45,,,
8.45,92.55000000000001,,,
8.45,92.65,,,
8.45,92.75,,,
8.45,92.85000000000001,,,
8.45,92.95,,,
8.45,93.05000000000001,,,
8.45,93.15,,,
8.45,93.25,,,
8.45,93.35000000000001,,,
8.45,93.45,,,
8.45,93.55000000000001,,,
8.45,93.65,,,
8.45,93.75,,,
8.45,93.85000000000001,,,
8.45,93.95,,,
8.45,94.05000000000001,,,
8.45,94.15,,,
8.45,94.25,,,
8.45,94.35000000000001,,,
8.45,94.45,,,
8.45,94.55000000000001,,,
8.45,94.65,,,
8.45,94.75,,,
8.45,94.85000000000001,,,
8.45,94.95,,,
8.45,95.05000000000001,,,
8.45,95.15,,,
8.45,95.25,,,
8.45,95.35000000000001,,,
8.45,95.45,,,
8.45,95.55000000000001,,,
8.45,95.65,,,
8.45,95.75,,,
8.45,95.85000000000001,,,
8.45,95.95,,,
8.45,96.05000000000001,,,
8.45,96.15,,,
8.45,96.25,,,
8.45,96.35000000000001,,,
8.45,96.45,,,
8.45,96.55000000000001,,,
8.45,96.65,,,
8.45,96.75,,,
8.45,96.85000000000001,,,
8.45,96.95,,,
8.45,97.05000000000001,,,
8.55,68.75,5.295104168739025e+18,5.295104168739025e+18,5.295104168739025e+18
8.55,68.85,2.4421691167387105e+18,2.4421691167387105e+18,2.4421691167387105e+18
8.55,68.95,6.80939060968215e+17,6.80939060968215e+17,6.80939060968215e+17
8.55,69.05000000000001,1.8897027378535514e+18,1.8897027378535514e+18,1.8897027378535514e+18
8.55,69.15,4.979158937174648e+18,4.979158937174648e+18,4.979158937174648e+18
8.55,69.25,1.5004294132452426e+18,1.5004294132452426e+18,1.5004294132452426e+18
8.55,69.35,1.2713440432662433e+18,1.2713440432662433e+18,1.2713440432662433e+18
8.55,69.45,1.5680109900429747e+18,1.5680109900429747e+18,1.5680109900429747e+18
8.55,69.55000000000001,1.3870377531349545e+18,1.3870377531349545e+18,1.3870377531349545e+18
8.55,69.65,1.5375780176765453e+18,1.5375780176765453e+18,1.5375780176765453e+18
8.55,69.75,1.5894040343584256e+18,1.5894040343584256e+18,1.5894040343584256e+18
8.55,69.85,2.9203044410689004e+18,2.9203044410689004e+18,2.9203044410689004e+18
8.55,69.95,3.925112618915666e+18,3.925112618915666e+18,3.925112618915666e+18
8.55,70.05000000000001,2.753069653941763e+18,2.753069653941763e+18,2.753069653941763e+18
8.55,70.15,2.841830564337605e+18,2.841830564337605e+18,2.841830564337605e+18
8.55,70.25,1.334231743221254e+18,1.334231743221254e+18,1.334231743221254e+18
8.55,70.35,1.4484107407998572e+18,1.4484107407998572e+18,1.4484107407998572e+18
8.55,70.45,4.36572180848661e+18,4.36572180848661e+18,4.36572180848661e+18
8.55,70.55000000000001,4.857403794927059e+18,4.857403794927059e+18,4.857403794927059e+18
8.55,70.65,5.667541697427653e+18,5.667541697427653e+18,5.667541697427653e+18
8.55,70.75,8.008055860050838e+18,8.008055860050838e+18,8.008055860050838e+18
8.55,70.85,4.146352321021796e+18,4.146352321021796e+18,4.146352321021796e+18
8.55,70.95,2.840591272623752e+18,2.840591272623752e+18,2.840591272623752e+18
8.55,71.05000000000001,7.211941103645433e+18,7.211941103645433e+18,7.211941103645433e+18
8.55,71.15,6.58068272768119e+18,6.58068272768119e+18,6.58068272768119e+18
8.55,71.25,4.5824732968381005e+18,4.5824732968381005e+18,4.5824732968381005e+18
8.55,71.35,5.594728731900957e+18,5.594728731900957e+18,5.594728731900957e+18
8.55,71.45,4.760766669455525e+18,4.760766669455525e+18,4.760766669455525e+18
8.55,71.55000000000001,2.0191656376881014e+18,2.0191656376881014e+18,2.0191656376881014e+18
8.55,71.65,3.618203717271522e+18,3.618203717271522e+18,3.618203717271522e+18
8.55,71.75,5.656486969075549e+18,5.656486969075549e+18,5.656486969075549e+18
8.55,71.85,5.852341959996526e+18,5.852341959996526e+18,5.852341959996526e+18
8.55,71.95,5.105326410672262e+18,5.105326410672262e+18,5.105326410672262e+18
8.55,72.05000000000001,3.1158086451666913e+18,3.1158086451666913e+18,3.1158086451666913e+18
8.55,72.15,8.790753289292404e+17,8.790753289292404e+17,8.790753289292404e+17
8.55,72.25,6.558678088854752e+18,6.558678088854752e+18,6.558678088854752e+18
8.55,72.35,8.60120347708548e+18,8.60120347708548e+18,8.60120347708548e+18
8.55,72.45,6.497161272270222e+18,6.497161272270222e+18,6.497161272270222e+18
8.55,72.55000000000001,7.890818992935722e+18,7.890818992935722e+18,7.890818992935722e+18
8.55,72.65,7.842449893520066e+18,7.842449893520066e+18,7.842449893520066e+18
8.55,72.75,4.495848784952438e+18,4.495848784952438e+18,4.495848784952438e+18
8.55,72.85,7.19178864228029e+18,7.19178864228029e+18,7.19178864228029e+18
8.55,72.95,8.281705927675734e+18,8.281705927675734e+18,8.281705927675734e+18
8.55,73.05000000000001,6.745522477217882e+18,6.745522477217882e+18,6.745522477217882e+18
8.55,73.15,8.848255859012984e+18,8.848255859012984e+18,8.848255859012984e+18
8.55,73.25,7.3180049218043e+18,7.3180049218043e+18,7.3180049218043e+18
8.55,73.35,7.12250818797141e+18,7.12250818797141e+18,7.12250818797141e+18
8.55,73.45,8.713568705620944e+18,8.713568705620944e+18,8.713568705620944e+18
8.55,73.55000000000001,5.964679520055617e+18,5.964679520055617e+18,5.964679520055617e+18
8.55,73.65,5.239771101252386e+18,5.239771101252386e+18,5.239771101252386e+18
8.55,73.75,6.774380422010498e+18,6.774380422010498e+18,6.774380422010498e+18
8.55,73.85,8.721405894039652e+18,8.721405894039652e+18,8.721405894039652e+18
8.55,73.95,8.839157052370504e+18,8.839157052370504e+18,8.839157052370504e+18
8.55,74.05000000000001,8.151500273348357e+18,8.151500273348357e+18,8.151500273348357e+18
8.55,74.15,7.995781627758365e+18,7.995781627758365e+18,7.995781627758365e+18
8.55,74.25,1.1500383603985414e+19,1.1500383603985414e+19,1.1500383603985414e+19
8.55,74.35,1.0386127617148492e+19,1.0386127617148492e+19,1.0386127617148492e+19
8.55,74.45,6.765021767856526e+18,6.765021767856526e+18,6.765021767856526e+18
8.55,74.55000000000001,9.962188278502144e+18,9.962188278502144e+18,9.962188278502144e+18
8.55,74.65,8.821495210448178e+18,8.821495210448178e+18,8.821495210448178e+18
8.55,74.75,1.043324826986003e+19,1.043324826986003e+19,1.043324826986003e+19
8.55,74.85,9.644983844802691e+18,9.644983844802691e+18,9.644983844802691e+18
8.55,74.95,5.988026320120561e+18,5.988026320120561e+18,5.988026320120561e+18
8.55,75.05000000000001,4.651260377663317e+18,4.651260377663317e+18,4.651260377663317e+18
8.55,75.15,4.32662193031605e+18,4.32662193031605e+18,4.32662193031605e+18
8.55,75.25,6.780152314745157e+18,6.780152314745157e+18,6.780152314745157e+18
8.55,75.35,2.216170274401743e+18,2.216170274401743e+18,2.216170274401743e+18
8.55,75.45,3.190675376891949e+18,3.190675376891949e+18,3.190675376891949e+18
8.55,75.55000000000001,7.438074499740964e+18,7.438074499740964e+18,7.438074499740964e+18
8.55,75.65,1.0278046623593728e+19,1.0278046623593728e+19,1.0278046623593728e+19
8.55,75.75,1.0357542296623241e+19,1.0357542296623241e+19,1.0357542296623241e+19
8.55,75.85,9.422443823413307e+18,9.422443823413307e+18,9.422443823413307e+18
8.55,75.95,4.961877479688806e+18,4.961877479688806e+18,4.961877479688806e+18
8.55,76.05000000000001,6.469093915672412e+18,6.469093915672412e+18,6.469093915672412e+18
8.55,76.15,6.68723087042734e+18,6.68723087042734e+18,6.68723087042734e+18
8.55,76.25,5.204275087479642e+18,5.204275087479642e+18,5.204275087479642e+18
8.55,76.35,1.0123779302801854e+19,1.0123779302801854e+19,1.0123779302801854e+19
8.55,76.45,1.0037046609998846e+19,1.0037046609998846e+19,1.0037046609998846e+19
8.55,76.55000000000001,5.433726023285957e+18,5.433726023285957e+18,5.433726023285957e+18
8.55,76.65,6.732751229045833e+18,6.732751229045833e+18,6.732751229045833e+18
8.55,76.75,1.0644334232757965e+19,1.0644334232757965e+19,1.0644334232757965e+19
8.55,76.85,6.458513672494176e+18,6.458513672494176e+18,6.458513672494176e+18
8.55,76.95,6.208721812989228e+18,6.208721812989228e+18,6.208721812989228e+18
8.55,77.05000000000001,7.198951967950154e+18,7.198951967950154e+18,7.198951967950154e+18
8.55,77.15,6.992908963818565e+18,6.992908963818565e+18,6.992908963818565e+18
8.55,77.25,6.962483048978987e+18,6.962483048978987e+18,6.962483048978987e+18
8.55,77.35,6.358252694392774e+18,6.358252694392774e+18,6.358252694392774e+18
8.55,77.45,9.013298904366369e+18,9.013298904366369e+18,9.013298904366369e+18
8.55,77.55000000000001,1.0203129202566595e+19,1.0203129202566595e+19,1.0203129202566595e+19
8.55,77.65,5.402742933136204e+18,5.402742933136204e+18,5.402742933136204e+18
8.55,77.75,3.9073239312254013e+18,3.9073239312254013e+18,3.9073239312254013e+18
8.55,77.85,,,
8.55,77.95,,,
8.55,78.05000000000001,,,
8.55,78.15,,,
8.55,78.25,,,
8.55,78.35000000000001,,,
8.55,78.45,,,
8.55,78.55000000000001,,,
8.55,78.65,,,
8.55,78.75,,,
8.55,78.85000000000001,,,
8.55,78.95,,,
8.55,79.05000000000001,,,
8.55,79.15,,,
8.55,79.25,,,
8.55,79.35000000000001,,,
8.55,79.45,,,
8.55,79.55000000000001,,,
8.55,79.65,,,
8.55,79.75,,,
8.55,79.85000000000001,,,
8.55,79.95,,,
8.55,80.05000000000001,,,
8.55,80.15,,,
8.55,80.25,,,
8.55,80.35000000000001,,,
8.55,80.45,,,
8.55,80.55000000000001,,,
8.55,80.65,,,
8.55,80.75,,,
8.55,80.85000000000001,,,
8.55,80.95,,,
8.55,81.05000000000001,,,
8.55,81.15,,,
8.55,81.25,,,
8.55,81.35000000000001,,,
8.55,81.45,,,
8.55,81.55000000000001,,,
8.55,81.65,,,
8.55,81.75,,,
8.55,81.85000000000001,,,
8.55,81.95,,,
8.55,82.05000000000001,,,
8.55,82.15,,,
8.55,82.25,,,
8.55,82.35000000000001,,,
8.55,82.45,,,
8.55,82.55000000000001,,,
8.55,82.65,,,
8.55,82.75,,,
8.55,82.85000000000001,,,
8.55,82.95,,,
8.55,83.05000000000001,,,
8.55,83.15,,,
8.55,83.25,,,
8.55,83.35000000000001,,,
8.55,83.45,,,
8.55,83.55000000000001,,,
8.55,83.65,,,
8.55,83.75,,,
8.55,83.85000000000001,,,
8.55,83.95,,,
8.55,84.05000000000001,,,
8.55,84.15,,,
8.55,84.25,,,
8.55,84.35000000000001,,,
8.55,84.45,,,
8.55,84.55000000000001,,,
8.55,84.65,,,
8.55,84.75,,,
8.55,84.85000000000001,,,
8.55,84.95,,,
8.55,85.05000000000001,,,
8.55,85.15,,,
8.55,85.25,,,
8.55,85.35000000000001,,,
8.55,85.45,,,
8.55,85.55000000000001,,,
8.55,85.65,,,
8.55,85.75,,,
8.55,85.85000000000001,,,
8.55,85.95,,,
8.55,86.05000000000001,,,
8.55,86.15,,,
8.55,86.25,,,
8.55,86.35000000000001,,,
8.55,86.45,,,
8.55,86.55000000000001,,,
8.55,86.65,,,
8.55,86.75,,,
8.55,86.85000000000001,,,
8.55,86.95,,,
8.55,87.05000000000001,,,
8.55,87.15,,,
8.55,87.25,,,
8.55,87.35000000000001,,,
8.55,87.45,,,
8.55,87.55000000000001,,,
8.55,87.65,,,
8.55,87.75,,,
8.55,87.85000000000001,,,
8.55,87.95,,,
8.55,88.05000000000001,,,
8.55,88.15,,,
8.55,88.25,,,
8.55,88.35000000000001,,,
8.55,88.45,,,
8.55,88.55000000000001,,,
8.55,88.65,,,
8.55,88.75,,,
8.55,88.85000000000001,,,
8.55,88.95,,,
8.55,89.05000000000001,,,
8.55,89.15,,,
8.55,89.25,,,
8.55,89.35000000000001,,,
8.55,89.45,,,
8.55,89.55000000000001,,,
8.55,89.65,,,
8.55,89.75,,,
8.55,89.85000000000001,,,
8.55,89.95,,,
8.55,90.05000000000001,,,
8.55,90.15,,,
8.55,90.25,,,
8.55,90.35000000000001,,,
8.55,90.45,,,
8.55,90.55000000000001,,,
8.55,90.65,,,
8.55,90.75,,,
8.55,90.85000000000001,,,
8.55,90.95,,,
8.55,91.05000000000001,,,
8.55,91.15,,,
8.55,91.25,,,
8.55,91.35000000000001,,,
8.55,91.45,,,
8.55,91.55000000000001,,,
8.55,91.65,,,
8.55,91.75,,,
8.55,91.85000000000001,,,
8.55,91.95,,,
8.55,92.05000000000001,,,
8.55,92.15,,,
8.55,92.25,,,
8.55,92.35000000000001,,,
8.55,92.45,,,
8.55,92.55000000000001,,,
8.55,92.65,,,
8.55,92.75,,,
8.55,92.85000000000001,,,
8.55,92.95,,,
8.55,93.05000000000001,,,
8.55,93.15,,,
8.55,93.25,,,
8.55,93.35000000000001,,,
8.55,93.45,,,
8.55,93.55000000000001,,,
8.55,93.65,,,
8.55,93.75,,,
8.55,93.85000000000001,,,
8.55,93.95,,,
8.55,94.05000000000001,,,
8.55,94.15,,,
8.55,94.25,,,
8.55,94.35000000000001,,,
8.55,94.45,,,
8.55,94.55000000000001,,,
8.55,94.65,,,
8.55,94.75,,,
8.55,94.85000000000001,,,
8.55,94.95,,,
8.55,95.05000000000001,,,
8.55,95.15,,,
8.55,95.25,,,
8.55,95.35000000000001,,,
8.55,95.45,,,
8.55,95.55000000000001,,,
8.55,95.65,,,
8.55,95.75,,,
8.55,95.85000000000001,,,
8.55,95.95,,,
8.55,96.05000000000001,,,
8.55,96.15,,,
8.55,96.25,,,
8.55,96.35000000000001,,,
8.55,96.45,,,
8.55,96.55000000000001,,,
8.55,96.65,,,
8.55,96.75,,,
8.55,96.85000000000001,,,
8.55,96.95,,,
8.55,97.05000000000001,,,
8.65,68.75,1.7084070472080865e+18,1.7084070472080865e+18,1.7084070472080865e+18
8.65,68.85,3.6733642588691174e+18,3.6733642588691174e+18,3.6733642588691174e+18
8.65,68.95,2.8135697670141286e+18,2.8135697670141286e+18,2.8135697670141286e+18
8.65,69.05000000000001,2.1126327495571228e+18,2.1126327495571228e+18,2.1126327495571228e+18
8.65,69.15,2.932328121392755e+18,2.932328121392755e+18,2.932328121392755e+18
8.65,69.25,2.589946143820256e+18,2.589946143820256e+18,2.589946143820256e+18
8.65,69.35,4.212603654743513e+18,4.212603654743513e+18,4.212603654743513e+18
8.65,69.45,3.467221351917655e+18,3.467221351917655e+18,3.467221351917655e+18
8.65,69.55000000000001,2.780188356058266e+18,2.780188356058266e+18,2.780188356058266e+18
8.65,69.65,1.4031682670577892e+18,1.4031682670577892e+18,1.4031682670577892e+18
8.65,69.75,5.649911583535136e+18,5.649911583535136e+18,5.649911583535136e+18
8.65,69.85,2.857866460568502e+18,2.857866460568502e+18,2.857866460568502e+18
8.65,69.95,1.05739131265236e+18,1.05739131265236e+18,1.05739131265236e+18
8.65,70.05000000000001,3.0951919819629394e+18,3.0951919819629394e+18,3.0951919819629394e+18
8.65,70.15,2.8386058498996444e+18,2.8386058498996444e+18,2.8386058498996444e+18
8.65,70.25,1.6861140412401997e+18,1.6861140412401997e+18,1.6861140412401997e+18
8.65,70.35,5.60452649909935e+18,5.60452649909935e+18,5.60452649909935e+18
8.65,70.45,4.981027041437741e+18,4.981027041437741e+18,4.981027041437741e+18
8.65,70.55000000000001,-5.959908210820004e+17,-5.959908210820004e+17,-5.959908210820004e+17
8.65,70.65,4.740460485588168e+18,4.740460485588168e+18,4.740460485588168e+18
8.65,70.75,4.784138356869333e+18,4.784138356869333e+18,4.784138356869333e+18
8.65,70.85,5.951303354204214e+18,5.951303354204214e+18,5.951303354204214e+18
8.65,70.95,5.862563413676272e+18,5.862563413676272e+18,5.862563413676272e+18
8.65,71.05000000000001,3.797994380166987e+18,3.797994380166987e+18,3.797994380166987e+18
8.65,71.15,4.5149272793078287e+18,4.5149272793078287e+18,4.5149272793078287e+18
8.65,71.25,5.866744158299342e+18,5.866744158299342e+18,5.866744158299342e+18
8.65,71.35,4.3669451663313505e+18,4.3669451663313505e+18,4.3669451663313505e+18
8.65,71.45,3.3635458567782415e+18,3.3635458567782415e+18,3.3635458567782415e+18
