,statename,distname,min_tropospheric_NO2_column_number_density,mean_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
61,Gujarat,Chhota Udaipur,9.264516e+18,1.569181e+19,2.6519926e+19
62,Gujarat,Batod,1.0233698e+19,1.7063147e+19,2.642865e+19
63,Gujarat,Rajkot,9.547475e+18,2.141819e+19,6.5946997e+19
64,Gujarat,Kachchh,2.2957147e+18,1.1180252e+19,7.0990456e+19
65,Gujarat,The Dangs,5.531569e+18,1.1839427e+19,1.8339851e+19
66,Gujarat,Mahesana,9.002604e+18,2.0185492e+19,4.4025915e+19
67,Gujarat,Patan,7.706316e+18,1.6115887e+19,2.3675447e+19
68,Gujarat,Bharuch,1.1141646e+19,2.5343015e+19,5.8392446e+19
69,Gujarat,Gir Somnath,5.131498e+18,1.5607328e+19,3.0934096e+19
70,Gujarat,Junagadh,6.1777375e+18,1.452126e+19,2.471615e+19
71,Gujarat,Devbhumi Dwarka,8.198663e+18,3.5855494e+19,1.4474681e+20
72,Gujarat,Navsari,9.449372e+18,2.8034543e+19,7.0911195e+19
73,Gujarat,Surat,4.696223e+18,3.4219146e+19,8.949928e+19
74,Gujarat,Jamnagar,7.874371e+18,2.7105878e+19,1.2597306e+20
75,Gujarat,Tapi,7.005326e+18,1.9796744e+19,4.934277e+19
76,Gujarat,Kheda,1.2627718e+19,2.864971e+19,7.5054704e+19
77,Madhya Pradesh,Betul,2.9456884e+18,1.0563821e+19,6.638707e+19
78,Madhya Pradesh,Hoshangabad,2.9294396e+18,8.255982e+18,1.8257431e+19
79,Madhya Pradesh,Sehore,3.2197428e+18,8.8535667e+18,1.6688551e+19
80,Madhya Pradesh,Jabalpur,3.2070302e+18,9.036257e+18,1.8899532e+19
81,Madhya Pradesh,Narsimhapur,4.2803182e+18,9.642761e+18,2.5734435e+19
82,Madhya Pradesh,Panna,2.4046701e+18,9.512575e+18,3.196724e+19
83,Madhya Pradesh,Ujjain,3.5082596e+18,1.0585277e+19,2.0552529e+19
84,Madhya Pradesh,Rewa,7.002193e+18,2.5118895e+19,1.1323746e+20
85,Madhya Pradesh,Dindori,1.1055604e+18,1.1246268e+19,7.946503e+19
86,Madhya Pradesh,Balaghat,-8.952658e+16,9.0390697e+18,3.4407325e+19
87,Madhya Pradesh,Barwani,6.80959e+18,1.2610584e+19,2.9896838e+19
88,Gujarat,Porbandar,9.470548e+18,1.6319951e+19,6.0856887e+19
89,Gujarat,Valsad,8.8541263e+18,2.1386625e+19,5.163514e+19
90,Gujarat,Gandhinagar,1.4118919e+19,2.6223994e+19,5.311251e+19
91,Gujarat,Mahisagar,9.871307e+18,1.5790862e+19,3.2280905e+19
92,Gujarat,Morbi,9.124342e+18,2.685925e+19,8.070207e+19
93,Gujarat,Panch Mahals,1.1713384e+19,2.2063227e+19,1.0544788e+20
94,Dadra & Nagar Haveli,Dadra & Nagar Haveli,1.3190426e+19,2.4039746e+19,4.0280745e+19
95,Madhya Pradesh,Ashoknagar,3.6009009e+18,1.0886748e+19,2.0782237e+19
96,Madhya Pradesh,Raisen,-5.2927324e+16,8.403517e+18,1.6906205e+19
97,Madhya Pradesh,Chhindwara,1.4993438e+18,8.995616e+18,3.0194087e+19
98,Bihar,Patna,9.717409e+18,1.7652997e+19,3.2602875e+19
99,Madhya Pradesh,Satna,2.8918123e+18,2.056583e+19,9.297643e+19
100,Madhya Pradesh,Chhatarpur,3.7263216e+18,1.0288163e+19,2.5443867e+19
101,Madhya Pradesh,Indore,4.417121e+18,1.249148e+19,3.034069e+19
102,Madhya Pradesh,Ratlam,5.52763e+18,1.1673185e+19,2.0015952e+19
103,Madhya Pradesh,Harda,3.377971e+18,8.4631323e+18,1.956804e+19
104,Madhya Pradesh,Sagar,2.545769e+18,8.959986e+18,2.5056537e+19
105,Madhya Pradesh,Neemuch,4.967021e+18,1.2009687e+19,3.0492065e+19
106,Madhya Pradesh,Tikamgarh,5.429743e+18,1.1637375e+19,5.353474e+19
107,Madhya Pradesh,Guna,4.725219e+18,1.5894376e+19,9.141174e+19
108,Madhya Pradesh,Dewas,2.4412022e+18,8.972376e+18,1.6069162e+19
109,Madhya Pradesh,Mandsaur,6.012615e+18,1.3031628e+19,2.5212222e+19
110,Madhya Pradesh,Khargone (West Nimar),5.229791e+18,1.3175674e+19,4.0443006e+19
111,Madhya Pradesh,Sheopur,5.4686784e+18,1.1464356e+19,1.8920306e+19
112,Madhya Pradesh,Morena,6.8436996e+18,1.4171111e+19,2.387226e+19
113,Madhya Pradesh,Bhind,7.357589e+18,1.577729e+19,2.5944232e+19
114,Madhya Pradesh,Jhabua,6.756643e+18,1.1124438e+19,1.5830145e+19
115,Madhya Pradesh,Seoni,3.4139432e+18,9.587064e+18,2.8928692e+19
116,Madhya Pradesh,Khandwa (East Nimar),5.344314e+18,1.2784193e+19,7.071172e+19
117,Madhya Pradesh,Umaria,2.9451898e+18,1.39844e+19,1.0216237e+20
118,Madhya Pradesh,Gwalior,7.3796587e+18,1.6625627e+19,3.3462957e+19
119,Madhya Pradesh,Damoh,2.6120004e+18,9.464685e+18,3.646155e+19
120,Madhya Pradesh,Dhar,5.5921403e+18,1.2525243e+19,2.0454714e+19
121,Madhya Pradesh,Katni,3.179559e+18,1.166092e+19,5.7031083e+19
122,Madhya Pradesh,Sidhi,3.6144177e+18,1.7649972e+19,5.3672146e+19
123,Madhya Pradesh,Alirajpur,8.4860764e+18,1.3167129e+19,1.8603466e+19
124,Madhya Pradesh,Singrauli,7.4154753e+18,3.8319405e+19,3.387035e+20
125,Madhya Pradesh,Bhopal,3.2569137e+18,9.391704e+18,2.054028e+19
126,Madhya Pradesh,Rajgarh,4.4671508e+18,9.609905e+18,2.676903e+19
127,Madhya Pradesh,Mandla,2.5526916e+18,8.835136e+18,3.1803869e+19
128,Madhya Pradesh,Shajapur,3.5483376e+18,9.342831e+18,1.5379761e+19
129,Madhya Pradesh,Shivpuri,3.4730837e+18,1.0893354e+19,2.4385e+19
130,Madhya Pradesh,Datia,1.2366607e+19,1.89495e+19,2.7050328e+19
131,Madhya Pradesh,Shahdol,3.484992e+18,1.4027037e+19,5.4665255e+19
132,Madhya Pradesh,Vidisha,3.6754986e+18,8.9345336e+18,1.6990941e+19
133,Andhra Pradesh,Prakasam,4.932761e+18,1.3561514e+19,4.863599e+19
134,Andhra Pradesh,Krishna,5.041527e+18,1.6083559e+19,6.305431e+19
135,Madhya Pradesh,Burhanpur,4.772056e+18,9.637437e+18,1.5204833e+19
136,Madhya Pradesh,Anuppur,3.049226e+18,1.7061299e+19,7.005094e+19
137,Andhra Pradesh,East Godavari,2.9938495e+18,1.0134003e+19,1.989089e+19
138,Andhra Pradesh,Visakhapatnam,1.04025104e+18,1.405047e+19,1.6015866e+20
139,Andhra Pradesh,Sri Potti Sriramulu Nellore,4.3241852e+18,1.504005e+19,6.031081e+19
140,Andhra Pradesh,Chittoor,3.6018855e+18,1.1721688e+19,2.3654596e+19
141,Andhra Pradesh,Srikakulam,7.7306377e+18,1.3481619e+19,2.450167e+19
142,Andhra Pradesh,Kurnool,4.6318186e+18,1.4749226e+19,5.541165e+19
143,Andhra Pradesh,Guntur,5.285267e+18,1.3269601e+19,3.0511632e+19
144,Andhra Pradesh,Vizianagaram,6.243618e+18,1.3306782e+19,3.3946087e+19
145,Andhra Pradesh,Anantapur,4.5978555e+18,1.6384806e+19,9.49852e+19
146,Andhra Pradesh,West Godavari,4.7913094e+18,1.0643647e+19,2.1250037e+19
147,Andhra Pradesh,Kadapa(YSR),5.106405e+18,1.6655493e+19,8.155117e+19
148,Kerala,Kannur,6.1693625e+18,1.0456163e+19,1.649905e+19
149,Kerala,Pathanamthitta,3.0278654e+18,1.1281339e+19,1.923777e+19
150,Kerala,Alappuzha,1.01203e+19,1.4511901e+19,2.1160007e+19
151,Kerala,Ernakulam,6.2201957e+18,1.796967e+19,4.1503116e+19
152,Kerala,Kollam,2.2470413e+18,1.1410334e+19,2.1221738e+19
153,Kerala,Kasaragod,5.4962134e+18,9.819429e+18,1.753982e+19
154,Kerala,Idukki,3.4602695e+18,1.0763643e+19,2.0647326e+19
155,Kerala,Kozhikode,5.8550275e+18,1.1238692e+19,1.942564e+19
156,Kerala,Kottayam,7.6856226e+18,1.4558561e+19,2.030375e+19
157,Kerala,Thrissur,8.194595e+18,1.4767034e+19,2.0956087e+19
158,Kerala,Palakkad,-5.583574e+17,1.4937261e+19,2.692186e+19
159,Kerala,Thiruvananthapuram,3.0181822e+18,1.3674216e+19,2.2180325e+19
160,Kerala,Malappuram,4.2787852e+18,1.3065389e+19,2.0581538e+19
161,Kerala,Wayanad,5.527003e+18,9.090686e+18,1.201764e+19
162,Lakshadweep,Lakshadweep,2.6928178e+18,3.745154e+18,5.0723885e+18
163,Sikkim,North District,1.6676737e+18,5.8897886e+18,1.2755297e+19
164,Sikkim,East District,4.6842494e+18,8.494e+18,1.6432309e+19
165,West Bengal,Nadia,8.0014144e+18,2.2028865e+19,4.5927186e+19
166,West Bengal,Dakshin Dinajpur,7.926474e+18,1.9426506e+19,7.047262e+19
167,Sikkim,South District,4.2520426e+18,9.976728e+18,1.85605e+19
168,Sikkim,West District,3.2257967e+18,8.2846156e+18,1.5402597e+19
169,West Bengal,Murshidabad,1.0099803e+19,3.1891847e+19,9.848063e+19
170,West Bengal,Barddhaman,1.3215272e+19,3.255339e+19,1.1278539e+20
171,West Bengal,Bankura,1.3905127e+19,4.1409015e+19,1.3975094e+20
172,West Bengal,Puruliya,9.228483e+18,2.5451596e+19,7.3057692e+19
173,West Bengal,Koch Bihar,8.7806586e+18,1.8575312e+19,3.8066773e+19
174,West Bengal,Paschim Medinipur,1.0450827e+19,3.0967332e+19,9.399959e+19
175,West Bengal,Hugli,1.4388498e+19,2.8770699e+19,8.978426e+19
176,West Bengal,Kolkata,3.079207e+19,7.9038816e+19,1.5408364e+20
177,West Bengal,Maldah,9.197888e+18,2.7198045e+19,8.639352e+19
178,West Bengal,South Twenty Four Parganas,5.6593793e+18,2.648476e+19,2.3812823e+20
179,West Bengal,Darjiling,5.3019913e+18,1.3468438e+19,2.6771006e+19
180,West Bengal,Jalpaiguri,7.7965226e+18,1.504425e+19,4.5473136e+19
181,West Bengal,Uttar Dinajpur,8.5605496e+18,2.0677167e+19,4.162807e+19
182,West Bengal,Purba Medinipur,1.1326595e+19,2.3171418e+19,4.187757e+19
183,West Bengal,Haora,2.1976302e+19,3.666548e+19,1.04069655e+20
184,West Bengal,North Twenty Four Parganas,1.7643344e+19,3.8446236e+19,1.552609e+20
185,West Bengal,Birbhum,1.5967062e+19,3.2762166e+19,8.243786e+19
186,Jharkhand,Jamtara,1.2264107e+19,2.8940635e+19,9.315257e+19
187,Jharkhand,Saraikela-Kharsawan,9.694148e+18,1.9486605e+19,6.037334e+19
188,Jharkhand,Simdega,5.66483e+18,1.3108518e+19,4.794238e+19
189,Jharkhand,Latehar,4.6461524e+18,1.1566663e+19,2.03433e+19
190,Jharkhand,Khunti,6.714196e+18,1.3646042e+19,4.215374e+19
191,Jharkhand,Pashchimi Singhbhum,7.5588934e+18,1.4188505e+19,3.8908115e+19
192,Jharkhand,Hazaribagh,7.7387147e+18,1.7761328e+19,6.3643366e+19
193,Jharkhand,Chatra,7.613461e+18,1.3338134e+19,2.3279628e+19
194,Jharkhand,Purbi Singhbhum,1.0945304e+19,2.9587207e+19,1.20446485e+20
195,Jharkhand,Kodarma,8.2080407e+18,1.9164316e+19,8.195646e+19
196,Jharkhand,Giridih,1.0012233e+19,2.0815528e+19,8.9019505e+19
197,Jharkhand,Bokaro,1.2934104e+19,3.1678586e+19,8.521754e+19
198,Jharkhand,Deoghar,8.913401e+18,1.8989443e+19,1.0037371e+20
199,Jharkhand,Gumla,3.6785338e+18,1.1341882e+19,2.7012975e+19
200,Jharkhand,Ramgarh,8.2521085e+18,1.5539816e+19,2.8667259e+19
201,Jharkhand,Garhwa,8.190705e+18,1.4769839e+19,2.8743939e+19
202,Jharkhand,Ranchi,5.1324917e+18,1.5299274e+19,4.1660276e+19
203,Jharkhand,Pakur,9.889809e+18,2.0984905e+19,3.52611e+19
204,Jharkhand,Lohardaga,3.6132932e+18,1.1924044e+19,2.9893425e+19
205,Jharkhand,Sahibganj,9.693608e+18,3.7767393e+19,9.494392e+19
206,Jharkhand,Godda,8.94727e+18,2.2026004e+19,8.749754e+19
207,Jharkhand,Palamu,6.7772286e+18,1.3070612e+19,4.739905e+19
208,Bihar,Arwal,1.0470827e+19,1.5515363e+19,2.2154807e+19
209,Bihar,Bhagalpur,1.1376432e+19,2.6018634e+19,1.1283753e+20
210,Bihar,Purnia,9.576591e+18,2.4721094e+19,6.3730905e+19
211,Bihar,Madhepura,9.713633e+18,1.9774787e+19,3.6812634e+19
212,Jharkhand,Dhanbad,1.135856e+19,3.191721e+19,7.219015e+19
213,Jharkhand,Dumka,6.576386e+18,2.122666e+19,7.736939e+19
214,Bihar,Kishanganj,1.3186595e+19,1.9002519e+19,2.975842e+19
215,Bihar,Gaya,7.666189e+18,1.6699741e+19,3.035066e+19
216,Bihar,Banka,6.636936e+18,1.4115147e+19,3.01252e+19
217,Bihar,Aurangabad,6.433723e+18,1.5885741e+19,6.9253888e+19
218,Bihar,Nawada,7.866854e+18,1.5873766e+19,2.5533591e+19
219,Bihar,Araria,9.853525e+18,1.8762572e+19,2.7960422e+19
220,Bihar,Pashchim Champaran,8.389512e+18,1.5022537e+19,2.3721585e+19
221,Bihar,Muzaffarpur,1.280707e+19,2.6901028e+19,1.129716e+20
222,Bihar,Saran,1.2362219e+19,1.7640693e+19,3.2267616e+19
223,Bihar,Sheikhpura,1.1217311e+19,1.613799e+19,2.104907e+19
224,Bihar,Jehanabad,1.1440464e+19,1.5831535e+19,2.1302985e+19
225,Bihar,Saharsa,8.573977e+18,2.0138017e+19,3.5219673e+19
226,Bihar,Gopalganj,1.2400725e+19,1.810227e+19,2.7478788e+19
227,Bihar,Vaishali,1.3222864e+19,1.9684337e+19,3.5884717e+19
228,Bihar,Siwan,1.1118203e+19,1.6598408e+19,2.1300432e+19
229,Bihar,Sheohar,1.0232098e+19,1.629399e+19,2.0614255e+19
230,Bihar,Buxar,1.0079828e+19,1.5998189e+19,2.3280067e+19
231,Bihar,Madhubani,8.244072e+18,1.5741713e+19,2.3242339e+19
232,Bihar,Supaul,9.931883e+18,1.6400675e+19,2.1387902e+19
233,Bihar,Bhojpur,9.939796e+18,1.6609054e+19,2.4266272e+19
234,Bihar,Darbhanga,1.2036145e+19,1.9386116e+19,3.2994017e+19
235,Bihar,Samastipur,1.2839694e+19,2.0537043e+19,3.9925822e+19
236,Bihar,Kaimur (Bhabua),5.716961e+18,1.4944945e+19,2.181271e+19
237,Bihar,Rohtas,5.6222323e+18,1.5679954e+19,3.336418e+19
238,Bihar,Khagaria,1.5088755e+19,2.5788845e+19,3.964295e+19
239,Bihar,Munger,1.1098521e+19,2.0831393e+19,4.036102e+19
240,Bihar,Sitamarhi,7.9218856e+18,1.5445263e+19,2.8062299e+19
241,Bihar,Purba Champaran,1.104885e+19,1.7021085e+19,3.376525e+19
242,Bihar,Lakhisarai,1.0350848e+19,2.0564397e+19,3.7388154e+19
243,Bihar,Jamui,8.530287e+18,1.6031922e+19,3.5220374e+19
244,Bihar,Begusarai,1.1427739e+19,2.0320818e+19,5.026321e+19
245,Bihar,Nalanda,1.1399017e+19,1.68491e+19,2.2111104e+19
246,Bihar,Katihar,8.138918e+18,2.5180987e+19,6.6630435e+19
247,NCT of Delhi,West,4.572679e+19,5.262825e+19,6.4671884e+19
248,Haryana,Mewat,1.3583669e+19,3.5886597e+19,1.0497989e+20
249,Haryana,Jhajjar,1.4301077e+19,2.7057099e+19,6.4756177e+19
250,Haryana,Bhiwani,2.0526163e+18,1.2479162e+19,3.0619433e+19
251,Haryana,Kaithal,3.99112e+18,9.604612e+18,1.8409982e+19
252,NCT of Delhi,New Delhi,,,
253,Haryana,Sonipat,8.0803027e+18,1.7758264e+19,4.4246956e+19
254,Haryana,Karnal,5.5106973e+18,1.3050729e+19,5.23649e+19
255,Haryana,Kurukshetra,5.918582e+18,1.1432783e+19,2.863911e+19
256,Haryana,Jind,4.4374099e+18,1.1678081e+19,3.3107674e+19
257,Haryana,Panipat,9.5033e+18,2.370855e+19,5.491924e+19
258,Haryana,Mahendragarh,4.5595934e+18,1.1279413e+19,2.5936417e+19
259,Haryana,Fatehabad,4.3865978e+18,1.3406621e+19,2.9518026e+19
260,NCT of Delhi,East,,,
261,NCT of Delhi,South,5.7319107e+19,1.00579445e+20,1.320259e+20
262,NCT of Delhi,North West,2.6226972e+19,4.0373473e+19,6.888097e+19
263,NCT of Delhi,South West,2.5657124e+19,5.4764594e+19,9.881432e+19
264,Haryana,Faridabad,4.33574e+19,8.615533e+19,1.8020464e+20
265,Haryana,Sirsa,6.503534e+18,1.2525877e+19,3.1744873e+19
266,Haryana,Hisar,4.7307785e+18,1.6759006e+19,3.800835e+19
267,NCT of Delhi,Central,6.2739374e+19,9.93572e+19,1.3138179e+20
268,Haryana,Rewari,8.765768e+18,2.4222092e+19,5.6920837e+19
269,Haryana,Rohtak,5.3485056e+18,1.9733056e+19,4.2765197e+19
270,Haryana,Ambala,8.5709785e+18,1.6832768e+19,3.3271816e+19
271,Chandigarh,Chandigarh,1.8802397e+19,2.3575159e+19,3.2818285e+19
272,NCT of Delhi,North East,2.6844394e+19,5.088207e+19,7.781854e+19
273,Punjab,Patiala,5.7677796e+18,1.2220578e+19,2.7423762e+19
274,Punjab,Tarn Taran,-1.3540299e+18,1.3204157e+19,6.8605013e+19
275,Punjab,Kapurthala,-1.0099683e+18,1.1853449e+19,3.3043733e+19
276,Punjab,Fatehgarh Sahib,6.036254e+18,1.6003094e+19,2.893995e+19
277,Punjab,Sangrur,4.790535e+18,1.1055305e+19,2.2025795e+19
278,NCT of Delhi,North,,,
279,Haryana,Gurgaon,1.4409542e+19,3.6758655e+19,9.323873e+19
280,Haryana,Yamunanagar,7.9579474e+18,1.7683292e+19,3.972569e+19
281,Haryana,Palwal,2.1042937e+19,4.397529e+19,1.0514024e+20
282,Haryana,Panchkula,6.473445e+18,2.464886e+19,6.5959593e+19
283,Punjab,Pathankot,3.7775566e+18,9.250033e+18,1.6436891e+19
284,Punjab,Gurdaspur,-6.266675e+18,7.692622e+18,2.4430585e+19
285,Punjab,Mansa,6.902516e+18,1.5566557e+19,3.2609962e+19
286,Punjab,Amritsar,-1.4285988e+18,1.6085408e+19,7.663364e+19
287,Punjab,Faridkot,4.5432887e+18,1.1444185e+19,1.907466e+19
288,Punjab,Ludhiana,4.6744373e+18,1.6513007e+19,6.0330766e+19
289,Punjab,Bathinda,7.20376e+18,1.4381954e+19,3.4250676e+19
290,Punjab,Jalandhar,-3.7594704e+17,1.3001473e+19,4.3808735e+19
291,Punjab,Moga,1.8795202e+18,8.9667136e+18,1.8209537e+19
292,Punjab,Hoshiarpur,4.5062778e+18,1.2050022e+19,2.1238864e+19
293,Punjab,Muktsar,7.789244e+18,1.489491e+19,2.688385e+19
294,Punjab,Rupnagar,9.663106e+18,1.8131786e+19,3.0653348e+19
295,Punjab,Firozpur,2.5517625e+18,1.1702038e+19,2.7104136e+19
296,Punjab,Fazilka,6.828338e+18,1.3440533e+19,2.7132347e+19
297,Punjab,Barnala,6.811578e+18,1.0786625e+19,1.7039924e+19
298,Punjab,Sahibzada Ajit Singh Nagar,1.0973294e+19,1.8537106e+19,5.0100342e+19
299,Punjab,Shahid Bhagat Singh Nagar,5.2899973e+18,1.4763156e+19,2.4447762e+19
300,Karnataka,Mandya,6.8813655e+18,1.341986e+19,2.0005394e+19
301,Karnataka,Mysore,2.9730036e+18,1.3113135e+19,2.6484803e+19
302,Karnataka,Chikkaballapura,6.2142033e+18,1.5923741e+19,3.855984e+19
303,Karnataka,Yadgir,7.5399164e+18,1.5967952e+19,5.5580383e+19
304,Karnataka,Chikmagalur,2.7207624e+18,9.330405e+18,1.546852e+19
305,Karnataka,Chitradurga,4.209531e+18,1.5724801e+19,1.28896285e+20
306,Karnataka,Haveri,6.4465956e+18,1.3791685e+19,2.2276825e+19
307,Karnataka,Dakshina Kannada,2.2509385e+18,9.947333e+18,5.6527054e+19
308,Karnataka,Raichur,8.223675e+18,1.6158501e+19,1.7241108e+20
309,Karnataka,Kolar,6.523823e+18,1.2793901e+19,2.104464e+19
310,Karnataka,Bijapur,2.119376e+18,1.219621e+19,2.2755937e+19
311,Karnataka,Uttara Kannada,-1.8887475e+16,8.190947e+18,1.6622285e+19
312,Karnataka,Davanagere,6.735741e+18,1.5053694e+19,2.822819e+19
313,Karnataka,Dharwad,5.3331317e+18,1.2533164e+19,2.2061628e+19
314,Karnataka,Bidar,5.94213e+18,1.3027235e+19,1.930405e+19
315,Karnataka,Chamarajanagar,1.504145e+18,1.206013e+19,3.3561557e+19
316,Karnataka,Gulbarga,7.940709e+18,1.7897686e+19,8.264791e+19
317,Karnataka,Gadag,5.670171e+18,1.2847981e+19,1.8475978e+19
318,Karnataka,Udupi,1.666441e+18,7.6244787e+18,1.2063327e+19
319,Karnataka,Bagalkot,7.2372e+18,1.7910064e+19,3.4039677e+19
320,Karnataka,Hassan,4.0159077e+18,1.1127922e+19,2.2571896e+19
321,Karnataka,Shimoga,1.8094909e+18,9.730769e+18,1.923753e+19
322,Karnataka,Bellary,7.6625647e+18,3.104797e+19,1.8704336e+20
323,Karnataka,Kodagu,8.456363e+17,8.2513163e+18,1.4411933e+19
324,Karnataka,Bangalore Rural,8.299687e+18,2.3401251e+19,5.980268e+19
325,Karnataka,Tumkur,5.211201e+18,1.3239848e+19,2.2106966e+19
326,Karnataka,Belgaum,4.4095526e+18,1.5269758e+19,2.8248158e+19
327,Karnataka,Koppal,8.420682e+18,1.6897753e+19,5.3196523e+19
328,Karnataka,Bangalore,1.1397086e+19,3.673746e+19,8.301279e+19
329,Karnataka,Ramanagara,4.165817e+18,1.2973278e+19,2.062995e+19
330,Maharashtra,Washim,4.538156e+18,1.2560206e+19,3.2674464e+19
331,Maharashtra,Ahmadnagar,7.220553e+18,1.5652521e+19,2.6277347e+19
332,Maharashtra,Latur,6.83898e+18,1.2726801e+19,2.3899926e+19
333,Maharashtra,Solapur,6.9839137e+18,1.5786902e+19,2.4262802e+19
