,statename,distname,min_tropospheric_NO2_column_number_density,mean_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
93,Gujarat,Panch Mahals,8.153208e+18,1.7131934e+19,3.4028423e+19
94,Dadra & Nagar Haveli,Dadra & Nagar Haveli,1.1881385e+19,2.482068e+19,4.9062126e+19
95,Madhya Pradesh,Ashoknagar,4.4494253e+18,1.0230786e+19,2.850391e+19
96,Madhya Pradesh,Raisen,2.6770095e+18,1.0223983e+19,2.0654775e+19
97,Madhya Pradesh,Chhindwara,1.9965101e+18,1.3569927e+19,5.5405337e+19
98,Bihar,Patna,-1.6477402e+19,2.3018753e+19,7.150922e+19
99,Madhya Pradesh,Satna,-2.945906e+18,2.5699954e+19,2.5477927e+20
100,Madhya Pradesh,Chhatarpur,-7.5530094e+18,1.0965867e+19,4.892897e+19
101,Madhya Pradesh,Indore,1.3549818e+18,1.4083049e+19,3.908067e+19
102,Madhya Pradesh,Ratlam,2.999794e+18,9.820136e+18,1.9473433e+19
103,Madhya Pradesh,Harda,3.378068e+18,1.0772474e+19,2.1735458e+19
104,Madhya Pradesh,Sagar,3.5119366e+18,1.0377609e+19,2.8815787e+19
105,Madhya Pradesh,Neemuch,3.8451873e+18,1.069078e+19,3.6269243e+19
106,Madhya Pradesh,Tikamgarh,-7.912415e+17,1.0583249e+19,3.626196e+19
107,Madhya Pradesh,Guna,4.0695715e+18,1.1562211e+19,4.834268e+19
108,Madhya Pradesh,Dewas,2.519927e+18,1.1154748e+19,5.9041426e+19
109,Madhya Pradesh,Mandsaur,2.3159068e+18,1.1276578e+19,3.3027902e+19
110,Madhya Pradesh,Khargone (West Nimar),3.4597862e+18,1.4248777e+19,7.1015503e+19
111,Madhya Pradesh,Sheopur,3.9340061e+18,1.285975e+19,4.4608423e+19
112,Madhya Pradesh,Morena,-2.5505033e+18,1.6842405e+19,5.4255507e+19
113,Madhya Pradesh,Bhind,-4.2996927e+18,1.3784855e+19,4.15771e+19
114,Madhya Pradesh,Jhabua,3.929516e+18,1.0962857e+19,2.2783317e+19
115,Madhya Pradesh,Seoni,3.6329722e+18,1.2948527e+19,3.9915135e+19
116,Madhya Pradesh,Khandwa (East Nimar),3.7315792e+18,1.5228847e+19,7.822429e+19
117,Madhya Pradesh,Umaria,-4.529345e+18,1.2305183e+19,3.5562661e+19
118,Madhya Pradesh,Gwalior,6.570269e+18,2.403631e+19,1.1668528e+20
119,Madhya Pradesh,Damoh,-8.9833464e+18,1.1070211e+19,2.721742e+19
120,Madhya Pradesh,Dhar,3.527564e+18,1.2750012e+19,3.577015e+19
121,Madhya Pradesh,Katni,-8.391188e+18,1.2763779e+19,4.154902e+19
122,Madhya Pradesh,Sidhi,-7.542836e+18,2.218845e+19,9.182554e+19
123,Madhya Pradesh,Alirajpur,5.148063e+18,1.29511e+19,2.0892023e+19
124,Madhya Pradesh,Singrauli,-9.050032e+18,3.008241e+19,2.8888271e+20
125,Madhya Pradesh,Bhopal,3.1877407e+18,1.0277687e+19,2.1251618e+19
126,Madhya Pradesh,Rajgarh,4.711756e+18,1.1142343e+19,3.7868306e+19
127,Madhya Pradesh,Mandla,2.2618418e+18,1.0883823e+19,2.5054906e+19
128,Madhya Pradesh,Shajapur,2.9330864e+18,9.285874e+18,1.8217571e+19
129,Madhya Pradesh,Shivpuri,5.7600885e+17,1.1103636e+19,3.1392658e+19
130,Madhya Pradesh,Datia,-2.4910956e+18,1.9374033e+19,6.096878e+19
131,Madhya Pradesh,Shahdol,-9.0856417e+18,1.4316973e+19,4.4649514e+19
132,Madhya Pradesh,Vidisha,3.668521e+18,9.0584195e+18,1.9822567e+19
133,Andhra Pradesh,Prakasam,1.8382734e+18,8.9607944e+18,2.1786383e+19
134,Andhra Pradesh,Krishna,4.778189e+18,1.5425107e+19,5.397512e+19
135,Madhya Pradesh,Burhanpur,4.1467658e+18,1.1415012e+19,1.8776633e+19
136,Madhya Pradesh,Anuppur,-1.6613421e+18,1.6834332e+19,5.591209e+19
137,Andhra Pradesh,East Godavari,3.7494273e+18,1.074221e+19,2.8851427e+19
138,Andhra Pradesh,Visakhapatnam,3.0307362e+18,1.1906741e+19,7.7836865e+19
139,Andhra Pradesh,Sri Potti Sriramulu Nellore,3.4126958e+18,1.0405401e+19,5.9517853e+19
140,Andhra Pradesh,Chittoor,2.5952383e+18,8.5986004e+18,1.9420012e+19
141,Andhra Pradesh,Srikakulam,6.387481e+18,1.192142e+19,1.7860461e+19
142,Andhra Pradesh,Kurnool,2.7598437e+18,1.1409933e+19,4.3553604e+19
143,Andhra Pradesh,Guntur,4.22006e+18,1.3849915e+19,3.845435e+19
144,Andhra Pradesh,Vizianagaram,6.5748206e+18,1.2135312e+19,2.6531853e+19
145,Andhra Pradesh,Anantapur,2.9143446e+18,9.943702e+18,5.855819e+19
146,Andhra Pradesh,West Godavari,3.8927494e+18,1.2621817e+19,3.0032995e+19
147,Andhra Pradesh,Kadapa(YSR),2.9500471e+18,9.997336e+18,5.094229e+19
148,Kerala,Kannur,5.3637987e+18,1.0795836e+19,2.0932914e+19
149,Kerala,Pathanamthitta,1.4487528e+18,8.591082e+18,1.6771978e+19
150,Kerala,Alappuzha,6.8534324e+18,1.3279694e+19,2.5651798e+19
151,Kerala,Ernakulam,5.449951e+18,1.5045454e+19,4.744419e+19
152,Kerala,Kollam,3.7699634e+18,9.778199e+18,1.6915447e+19
153,Kerala,Kasaragod,5.113588e+18,1.0399042e+19,2.0131205e+19
154,Kerala,Idukki,1.0806893e+18,8.907982e+18,2.0736547e+19
155,Kerala,Kozhikode,3.7542022e+18,1.1262333e+19,1.7662978e+19
156,Kerala,Kottayam,2.3535585e+18,1.1823339e+19,2.228175e+19
157,Kerala,Thrissur,6.1596637e+18,1.1696749e+19,1.7185053e+19
158,Kerala,Palakkad,5.4192983e+17,1.084205e+19,2.2047128e+19
159,Kerala,Thiruvananthapuram,3.9222878e+18,1.0134332e+19,1.9339077e+19
160,Kerala,Malappuram,1.8988042e+18,1.1237439e+19,1.8878615e+19
161,Kerala,Wayanad,1.8181675e+18,9.1693646e+18,1.6720513e+19
162,Lakshadweep,Lakshadweep,4.967075e+18,6.5380183e+18,7.74777e+18
163,Sikkim,North District,-2.9866375e+18,3.7376842e+18,9.607324e+18
164,Sikkim,East District,-6.9943684e+18,5.0111435e+18,1.3506933e+19
165,West Bengal,Nadia,8.7169474e+18,2.6262728e+19,6.1249914e+19
166,West Bengal,Dakshin Dinajpur,-5.06492e+17,1.1106696e+19,1.9890288e+19
167,Sikkim,South District,-8.047035e+18,5.8708335e+18,1.5118268e+19
168,Sikkim,West District,-9.0222615e+18,4.9637216e+18,1.1766713e+19
169,West Bengal,Murshidabad,5.0993717e+18,3.0135034e+19,8.983934e+19
170,West Bengal,Barddhaman,1.0233789e+19,3.5353193e+19,1.2537358e+20
171,West Bengal,Bankura,8.8244236e+18,4.883032e+19,2.1138106e+20
172,West Bengal,Puruliya,-5.899693e+18,3.304741e+19,1.004737e+20
173,West Bengal,Koch Bihar,-8.914991e+18,9.44814e+18,3.42435e+19
174,West Bengal,Paschim Medinipur,9.937528e+18,3.138958e+19,9.794667e+19
175,West Bengal,Hugli,1.0148286e+19,3.6318688e+19,1.2206415e+20
176,West Bengal,Kolkata,3.6592963e+19,4.9627486e+19,6.132146e+19
177,West Bengal,Maldah,-8.2506836e+18,1.7609736e+19,1.0717819e+20
178,West Bengal,South Twenty Four Parganas,6.4909185e+18,3.0803405e+19,1.3884458e+20
179,West Bengal,Darjiling,-1.4817745e+19,7.8440446e+18,2.3435684e+19
180,West Bengal,Jalpaiguri,-1.4392461e+19,8.711795e+18,3.878327e+19
181,West Bengal,Uttar Dinajpur,-1.4890219e+19,1.1454238e+19,2.5907146e+19
182,West Bengal,Purba Medinipur,1.6373216e+19,4.161303e+19,1.4350076e+20
183,West Bengal,Haora,1.97398e+19,5.5986446e+19,1.44128285e+20
184,West Bengal,North Twenty Four Parganas,1.1761723e+19,2.7631616e+19,5.7475994e+19
185,West Bengal,Birbhum,1.2009951e+19,3.315298e+19,7.780214e+19
186,Jharkhand,Jamtara,6.0122456e+18,3.2508262e+19,1.056385e+20
187,Jharkhand,Saraikela-Kharsawan,1.0733431e+19,3.1776713e+19,1.0178478e+20
188,Jharkhand,Simdega,2.2669258e+17,1.8129617e+19,6.288559e+19
189,Jharkhand,Latehar,-6.637011e+18,1.2337562e+19,7.3297896e+19
190,Jharkhand,Khunti,-3.717816e+18,1.4458677e+19,3.7737077e+19
191,Jharkhand,Pashchimi Singhbhum,2.8825223e+18,1.7713556e+19,4.6454683e+19
192,Jharkhand,Hazaribagh,-8.7130733e+18,1.949862e+19,7.412886e+19
193,Jharkhand,Chatra,-1.8415886e+19,1.2091836e+19,3.2596775e+19
194,Jharkhand,Purbi Singhbhum,9.100268e+18,3.4685897e+19,1.33450435e+20
195,Jharkhand,Kodarma,-4.241974e+18,2.3286282e+19,1.04222135e+20
196,Jharkhand,Giridih,-6.248804e+18,2.357743e+19,6.008859e+19
197,Jharkhand,Bokaro,-5.4017165e+18,2.985054e+19,7.295238e+19
198,Jharkhand,Deoghar,-1.2360961e+18,2.0511143e+19,4.607846e+19
199,Jharkhand,Gumla,-1.4036893e+19,1.7515946e+19,7.0916697e+19
200,Jharkhand,Ramgarh,-2.2549964e+18,1.8815441e+19,4.1447138e+19
201,Jharkhand,Garhwa,-1.0781093e+19,2.718072e+19,2.378256e+20
202,Jharkhand,Ranchi,-8.59771e+18,1.6174267e+19,6.415807e+19
203,Jharkhand,Pakur,-3.0649057e+18,2.473739e+19,8.8808425e+19
204,Jharkhand,Lohardaga,-6.619803e+18,1.2421839e+19,3.1028143e+19
205,Jharkhand,Sahibganj,-1.1143507e+19,2.2867135e+19,9.032355e+19
206,Jharkhand,Godda,-1.4301238e+18,1.85281e+19,7.4657895e+19
207,Jharkhand,Palamu,-1.6297621e+19,1.5562183e+19,1.0528663e+20
208,Bihar,Arwal,4.0186276e+18,1.8721686e+19,2.6744074e+19
209,Bihar,Bhagalpur,1.9125502e+18,3.1219546e+19,1.31902165e+20
210,Bihar,Purnia,-1.1211235e+19,1.3197467e+19,3.7883875e+19
211,Bihar,Madhepura,-1.7722393e+18,1.6231202e+19,5.4224364e+19
212,Jharkhand,Dhanbad,1.0517449e+19,3.8368342e+19,9.964498e+19
213,Jharkhand,Dumka,7.872933e+17,1.8263012e+19,4.098189e+19
214,Bihar,Kishanganj,-2.1941696e+19,9.907071e+18,2.9389979e+19
215,Bihar,Gaya,-2.6355076e+19,1.791394e+19,6.910997e+19
216,Bihar,Banka,-1.06302695e+18,1.862885e+19,4.9085405e+19
217,Bihar,Aurangabad,-1.330027e+19,1.5883251e+19,1.1666128e+20
218,Bihar,Nawada,-4.690814e+18,2.330105e+19,9.362164e+19
219,Bihar,Araria,-2.1137654e+19,1.2034186e+19,4.4826385e+19
220,Bihar,Pashchim Champaran,3.316273e+17,1.6999277e+19,4.131774e+19
221,Bihar,Muzaffarpur,-7.5540665e+18,2.1378337e+19,5.843872e+19
222,Bihar,Saran,4.741865e+18,2.4718523e+19,5.784025e+19
223,Bihar,Sheikhpura,-7.401473e+18,2.9047987e+19,9.394622e+19
224,Bihar,Jehanabad,-1.463937e+19,2.066353e+19,3.963907e+19
225,Bihar,Saharsa,2.9303197e+18,1.6409803e+19,3.218871e+19
226,Bihar,Gopalganj,1.0849019e+19,2.6382104e+19,5.2841544e+19
227,Bihar,Vaishali,-1.0669879e+19,2.185997e+19,5.454434e+19
228,Bihar,Siwan,1.067172e+19,2.8888157e+19,8.172194e+19
229,Bihar,Sheohar,-3.9781304e+18,1.408641e+19,2.965555e+19
230,Bihar,Buxar,-4.2979684e+18,2.0756517e+19,4.8476724e+19
231,Bihar,Madhubani,-2.167086e+19,1.0766424e+19,3.6652044e+19
232,Bihar,Supaul,-4.0558282e+18,1.0317741e+19,2.8174049e+19
233,Bihar,Bhojpur,-7.7813213e+18,1.9412738e+19,4.8210893e+19
234,Bihar,Darbhanga,-5.36376e+18,1.4704184e+19,3.5597434e+19
235,Bihar,Samastipur,-5.6103856e+18,1.8835613e+19,4.7750515e+19
236,Bihar,Kaimur (Bhabua),-6.369577e+18,1.9646437e+19,6.0956225e+19
237,Bihar,Rohtas,-8.535567e+18,2.0693521e+19,4.771858e+19
238,Bihar,Khagaria,-1.3909182e+18,2.0940549e+19,5.5788472e+19
239,Bihar,Munger,5.923543e+17,2.0217472e+19,3.9159243e+19
240,Bihar,Sitamarhi,-1.2337066e+19,1.3637825e+19,3.6059783e+19
241,Bihar,Purba Champaran,-7.728531e+18,1.7522611e+19,4.029907e+19
242,Bihar,Lakhisarai,-6.55092e+18,2.4131787e+19,8.41397e+19
243,Bihar,Jamui,-7.651765e+17,2.010709e+19,7.2723986e+19
244,Bihar,Begusarai,-1.2490616e+18,2.4999218e+19,6.0822415e+19
245,Bihar,Nalanda,-2.5691862e+19,2.189382e+19,7.517679e+19
246,Bihar,Katihar,-6.304092e+18,1.5496923e+19,1.1755031e+20
247,NCT of Delhi,West,9.0228e+19,1.9181953e+20,2.5767836e+20
248,Haryana,Mewat,1.6477182e+19,3.4634414e+19,8.8102e+19
249,Haryana,Jhajjar,3.2485223e+19,1.1292516e+20,3.168405e+20
250,Haryana,Bhiwani,1.5106552e+19,4.8078376e+19,3.1010724e+20
251,Haryana,Kaithal,1.772339e+19,3.530814e+19,9.315342e+19
252,NCT of Delhi,New Delhi,,,
253,Haryana,Sonipat,2.9695298e+19,5.7345544e+19,1.9764138e+20
254,Haryana,Karnal,1.4557998e+19,4.2026017e+19,1.04587745e+20
255,Haryana,Kurukshetra,8.7492907e+18,2.7680997e+19,5.4205052e+19
256,Haryana,Jind,2.3322761e+19,4.295983e+19,8.7992605e+19
257,Haryana,Panipat,3.0278032e+19,5.5610884e+19,1.0809175e+20
258,Haryana,Mahendragarh,1.5591555e+19,3.2670794e+19,1.0145803e+20
259,Haryana,Fatehabad,1.929815e+19,4.039563e+19,7.853306e+19
260,NCT of Delhi,East,,,
261,NCT of Delhi,South,6.3101993e+19,1.1769899e+20,1.7842338e+20
262,NCT of Delhi,North West,5.101458e+19,1.207438e+20,1.857119e+20
263,NCT of Delhi,South West,4.915008e+19,1.646683e+20,3.055173e+20
264,Haryana,Faridabad,2.5198407e+19,8.982981e+19,4.1371484e+20
265,Haryana,Sirsa,1.0988097e+19,4.0934514e+19,1.0909197e+20
266,Haryana,Hisar,1.9782547e+19,4.02011e+19,8.825835e+19
267,NCT of Delhi,Central,1.1461792e+20,1.7759424e+20,2.2341325e+20
268,Haryana,Rewari,1.9870893e+19,5.078811e+19,1.2440902e+20
269,Haryana,Rohtak,2.7672984e+19,7.159011e+19,2.3018594e+20
270,Haryana,Ambala,2.6768523e+18,2.7824782e+19,6.8571707e+19
271,Chandigarh,Chandigarh,1.2338177e+19,3.4883394e+19,5.301126e+19
272,NCT of Delhi,North East,1.1173982e+20,1.2382973e+20,1.3354589e+20
273,Punjab,Patiala,1.2722969e+18,3.288445e+19,7.175837e+19
274,Punjab,Tarn Taran,-1.0535967e+19,3.379209e+19,8.642885e+19
275,Punjab,Kapurthala,-9.828906e+18,3.609397e+19,1.0571381e+20
276,Punjab,Fatehgarh Sahib,1.1286775e+19,3.710023e+19,7.907692e+19
277,Punjab,Sangrur,1.0945998e+19,3.7835963e+19,7.783882e+19
278,NCT of Delhi,North,,,
279,Haryana,Gurgaon,3.263304e+19,9.172541e+19,2.9436643e+20
280,Haryana,Yamunanagar,-2.465639e+18,2.3828634e+19,8.076883e+19
281,Haryana,Palwal,1.9986744e+19,4.2518695e+19,9.826005e+19
282,Haryana,Panchkula,-4.892493e+18,2.7111758e+19,9.951143e+19
283,Punjab,Pathankot,-5.025188e+18,9.500409e+18,2.417764e+19
284,Punjab,Gurdaspur,-2.2868439e+19,1.5813887e+19,6.628785e+19
285,Punjab,Mansa,1.5510746e+19,4.3257607e+19,8.850609e+19
286,Punjab,Amritsar,-3.211482e+18,3.3458211e+19,9.688381e+19
287,Punjab,Faridkot,1.9547986e+19,3.7694645e+19,7.531903e+19
288,Punjab,Ludhiana,2.9274923e+17,3.8541133e+19,1.3523617e+20
289,Punjab,Bathinda,1.7352673e+19,4.0897703e+19,1.3819218e+20
290,Punjab,Jalandhar,-1.2074909e+19,2.9441885e+19,9.494777e+19
291,Punjab,Moga,5.288059e+18,2.8256534e+19,5.8477284e+19
292,Punjab,Hoshiarpur,-2.9874945e+19,1.7881019e+19,6.7021734e+19
293,Punjab,Muktsar,1.8509902e+19,5.0740324e+19,1.3518814e+20
294,Punjab,Rupnagar,5.4599015e+18,2.6417876e+19,6.337892e+19
295,Punjab,Firozpur,1.6334149e+19,3.420693e+19,8.0699105e+19
296,Punjab,Fazilka,1.8933276e+19,5.4009836e+19,1.5228065e+20
297,Punjab,Barnala,1.3117674e+19,3.1748906e+19,6.665837e+19
298,Punjab,Sahibzada Ajit Singh Nagar,2.1251682e+18,3.2792209e+19,8.274854e+19
299,Punjab,Shahid Bhagat Singh Nagar,-2.8652624e+18,2.2518766e+19,5.1971944e+19
300,Karnataka,Mandya,2.8535656e+18,9.39093e+18,1.8896068e+19
301,Karnataka,Mysore,3.923713e+18,9.77258e+18,1.8922679e+19
302,Karnataka,Chikkaballapura,3.0967753e+18,9.1674316e+18,2.021233e+19
303,Karnataka,Yadgir,4.624e+18,1.4607317e+19,4.127937e+19
304,Karnataka,Chikmagalur,2.4261818e+18,7.632835e+18,1.3993094e+19
305,Karnataka,Chitradurga,3.1301757e+18,9.646883e+18,4.7093873e+19
306,Karnataka,Haveri,3.3623618e+18,1.0283959e+19,1.8483389e+19
307,Karnataka,Dakshina Kannada,2.3548414e+18,1.0452017e+19,3.9711734e+19
308,Karnataka,Raichur,5.079278e+18,1.4602853e+19,9.308397e+19
309,Karnataka,Kolar,3.433427e+18,7.7773504e+18,1.8382893e+19
310,Karnataka,Bijapur,2.919628e+18,1.2268674e+19,4.6909494e+19
311,Karnataka,Uttara Kannada,6.2740814e+17,7.588471e+18,1.6993513e+19
312,Karnataka,Davanagere,5.0135894e+18,1.0457187e+19,1.9319453e+19
313,Karnataka,Dharwad,2.1631898e+18,9.653191e+18,1.925646e+19
314,Karnataka,Bidar,3.5439899e+18,1.3014109e+19,2.2195184e+19
315,Karnataka,Chamarajanagar,1.1522381e+18,8.509649e+18,1.919714e+19
316,Karnataka,Gulbarga,4.4555064e+18,1.4477926e+19,5.6098433e+19
317,Karnataka,Gadag,3.086438e+18,1.0690281e+19,2.254347e+19
318,Karnataka,Udupi,2.1999466e+18,8.574937e+18,1.5758034e+19
319,Karnataka,Bagalkot,3.795385e+18,1.4137166e+19,4.406919e+19
320,Karnataka,Hassan,2.221354e+18,8.5518706e+18,1.8047211e+19
321,Karnataka,Shimoga,9.8376954e+17,7.529095e+18,1.4294158e+19
322,Karnataka,Bellary,3.7002002e+18,1.8468442e+19,1.1058267e+20
323,Karnataka,Kodagu,1.8862993e+18,8.392344e+18,1.452376e+19
324,Karnataka,Bangalore Rural,3.2140418e+18,1.1583337e+19,3.0189742e+19
325,Karnataka,Tumkur,3.8756504e+18,9.591973e+18,1.874579e+19
326,Karnataka,Belgaum,1.9909596e+18,1.3093157e+19,3.2411696e+19
327,Karnataka,Koppal,5.9636065e+18,1.5712049e+19,5.506849e+19
328,Karnataka,Bangalore,3.3516682e+18,1.5036452e+19,4.0774003e+19
329,Karnataka,Ramanagara,3.021976e+18,8.1448193e+18,1.5748514e+19
330,Maharashtra,Washim,5.4011337e+18,1.1067936e+19,1.9426182e+19
331,Maharashtra,Ahmadnagar,6.9081854e+18,1.444191e+19,2.7487804e+19
332,Maharashtra,Latur,5.9411435e+18,1.2725512e+19,2.2788045e+19
